web-scraper-order,web-scraper-start-url,MatchLink,MatchLink-href,f_boxer,s_boxer,f_boxer_result,f_boxer_stance,f_boxer_age,f_boxer_height,f_boxer_reach,f_boxer_won,f_boxer_lost,f_boxer_drawn,f_boxer_KOs,f_boxer_ranking,s_boxer_ranking,s_boxer_age,s_boxer_stance,s_boxer_reach,s_boxer_height,s_boxer_won,s_boxer_lost,s_boxer_drawn,s_boxer_KOs,rounds
"1607598445-66","https://boxrec.com/en/proboxer/511850","bout","https://boxrec.com/en/event/610151/1557969","Kubrat Pulev","Paolo Vidoz","won UD","orthodox","29","6′ 4½″   /   194cm","79½″   /   202cm","9","0","0","5","11","","40","orthodox","","6′ 3″   /   191cm","26","9","0","15","Kubrat Pulev
    
      
      
    
                    
won UD
        
round 8"
"1607598495-77","https://boxrec.com/en/proboxer/511850","bout","https://boxrec.com/en/event/695409/1917998","Wladimir Klitschko","Kubrat Pulev","won KO","orthodox","38","6′ 6″   /   198cm","81″   /   206cm","62","3","0","52","","11","33","orthodox","79½″   /   202cm","6′ 4½″   /   194cm","20","0","0","11","Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 5"
"1607598457-69","https://boxrec.com/en/proboxer/511850","bout","https://boxrec.com/en/event/621732/1601426","Kubrat Pulev","Maksym Pedyura","won UD","orthodox","30","6′ 4½″   /   194cm","79½″   /   202cm","12","0","0","6","11","635","33","orthodox","77″   /   196cm","6′ 4½″   /   194cm","13","1","1","11","Kubrat Pulev
    
      
      
    
                    
won UD
        
round 8"
"1607598486-75","https://boxrec.com/en/proboxer/511850","bout","https://boxrec.com/en/event/680993/1853518","Kubrat Pulev","Joey Abell","won RTD","orthodox","32","6′ 4½″   /   194cm","79½″   /   202cm","18","0","0","9","11","131","32","southpaw","76″   /   193cm","6′ 4″   /   193cm","29","6","0","28","Kubrat Pulev
    
      
      
    
                    
won RTD
        
round 4"
"1607598465-70","https://boxrec.com/en/proboxer/511850","bout","https://boxrec.com/en/event/627796/1624710","Kubrat Pulev","Travis Walker","won UD","orthodox","30","6′ 4½″   /   194cm","79½″   /   202cm","13","0","0","6","11","","32","orthodox","82″   /   208cm","6′ 4½″   /   194cm","38","6","1","30","Kubrat Pulev
    
      
      
    
                    
won UD
        
round 12"
"1607598449-67","https://boxrec.com/en/proboxer/511850","bout","https://boxrec.com/en/event/611185/1573371","Kubrat Pulev","Yaroslav Zavorotnyi","won UD","orthodox","29","6′ 4½″   /   194cm","79½″   /   202cm","10","0","0","5","11","","36","orthodox","75″   /   191cm","6′ 4″   /   193cm","14","5","0","12","Kubrat Pulev
    
      
      
    
                    
won UD
        
round 8"
"1607598508-80","https://boxrec.com/en/proboxer/511850","bout","https://boxrec.com/en/event/730071/2055037","Dereck Chisora","Kubrat Pulev","won SD","orthodox","32","6′ 1½″   /   187cm","74″   /   188cm","25","5","0","17","9","11","35","orthodox","79½″   /   202cm","6′ 4½″   /   194cm","22","1","0","12","Dereck Chisora"
"1607598512-81","https://boxrec.com/en/proboxer/511850","bout","https://boxrec.com/en/event/742749/2121491","Kubrat Pulev","Samuel Peter","won RTD","orthodox","35","6′ 4½″   /   194cm","79½″   /   202cm","23","1","0","12","11","184","36","orthodox","77″   /   196cm","6′ 2″   /   188cm","36","5","0","29","Kubrat Pulev
    
      
      
    
                    
won RTD
        
round 3"
"1607598440-65","https://boxrec.com/en/proboxer/511850","bout","https://boxrec.com/en/event/604894/1543415","Kubrat Pulev","Dominick Guinn","won UD","orthodox","29","6′ 4½″   /   194cm","79½″   /   202cm","8","0","0","5","11","209","35","orthodox","78″   /   198cm","6′ 2″   /   188cm","33","6","1","22","Kubrat Pulev
    
      
      
    
                    
won UD
        
round 8"
"1607598520-83","https://boxrec.com/en/proboxer/511850","bout","https://boxrec.com/en/event/774109/2272308","Kubrat Pulev","Hughie Fury","won UD","orthodox","37","6′ 4½″   /   194cm","79½″   /   202cm","25","1","0","13","11","26","24","orthodox","80″   /   203cm","6′ 6″   /   198cm","21","1","0","11","Kubrat Pulev
    
      
      
    
                    
won UD
        
round 12"
"1607598529-85","https://boxrec.com/en/proboxer/511850","bout","https://boxrec.com/en/event/793132/2399988","Kubrat Pulev","Rydell Booker","won UD","orthodox","38","6′ 4½″   /   194cm","79½″   /   202cm","27","1","0","14","11","160","38","orthodox","79″   /   201cm","6′ 3″   /   191cm","26","2","0","13","Kubrat Pulev
    
      
      
    
                    
won UD
        
round 10"
"1607598410-58","https://boxrec.com/en/proboxer/511850","bout","https://boxrec.com/en/event/581239/1454812","Kubrat Pulev","Serdar Uysal","won TKO","orthodox","28","6′ 4½″   /   194cm","79½″   /   202cm","1","0","0","1","11","","38","southpaw","","","9","8","2","4","Kubrat Pulev
    
      
      
    
                    
won TKO
        
round 4"
