f_boxer,s_boxer,f_boxer_result,f_boxer_age,f_boxer_height,f_boxer_reach,f_boxer_won,f_boxer_lost,f_boxer_KOs,f_boxer_ranking,s_boxer_age,s_boxer_height,s_boxer_reach,s_boxer_won,s_boxer_lost,s_boxer_KOs,s_boxer_ranking,matchRounds,fightEnd,winner
Tyson Fury,Scott Belshaw,won,20,206,216.0,5,0,5,1,23,201.0,199.414634146341,10,1,7,24,2.0,KO/TKO,Tyson Fury
Tyson Fury,Hans-Joerg Blasko,won,21,206,216.0,9,0,7,1,36,195.0,199.414634146341,9,3,6,24,1.0,KO/TKO,Tyson Fury
Tyson Fury,Steve Cunningham,won,24,206,216.0,20,0,14,1,36,190.0,208.0,25,5,12,24,7.0,KO/TKO,Tyson Fury
Tyson Fury,Christian Hammer,won,26,206,216.0,23,0,17,1,27,189.0,198.0,17,3,10,17,8.0,RTD,Tyson Fury
Tyson Fury,Neven Pajkic,won,23,206,216.0,16,0,11,1,34,191.0,199.414634146341,16,0,5,24,3.0,KO/TKO,Tyson Fury
Tyson Fury,Mathew Ellis,won,20,206,216.0,4,0,4,1,35,182.0,199.414634146341,20,6,9,24,1.0,KO/TKO,Tyson Fury
Tyson Fury,Otto Wallin,won,31,206,216.0,28,0,20,1,28,197.0,198.0,20,0,13,18,2.0,UD,Tyson Fury
Tyson Fury,Bela Gyongyosi,won,20,206,216.0,0,0,0,1,22,192.0,199.414634146341,3,9,1,24,1.0,KO/TKO,Tyson Fury
Tyson Fury,Marcelo Nascimento,won,22,206,216.0,13,0,9,1,30,196.0,199.414634146341,13,0,11,10,5.0,KO/TKO,Tyson Fury
Tyson Fury,Kevin Johnson,won,24,206,216.0,19,0,14,1,33,191.0,208.0,28,2,13,23,2.0,UD,Tyson Fury
Tyson Fury,Nicolai Firtha,won,23,206,216.0,15,0,10,1,32,198.0,199.414634146341,20,8,8,24,5.0,KO/TKO,Tyson Fury
Tyson Fury,Tom Schwarz,won,30,206,216.0,27,0,19,1,25,197.0,199.414634146341,24,0,16,13,2.0,KO/TKO,Tyson Fury
Tyson Fury,Francesco Pianeta,won,30,206,216.0,26,0,19,1,33,196.0,203.0,35,4,21,24,0.0,Unknown,Tyson Fury
Tyson Fury,Daniil Peretyatko,won,20,206,216.0,2,0,2,1,35,183.0,199.414634146341,15,20,6,24,2.0,RTD,Tyson Fury
Tyson Fury,Lee Swaby,won,20,206,216.0,3,0,3,1,32,188.0,199.414634146341,23,22,11,24,4.0,RTD,Tyson Fury
Tyson Fury,Joey Abell,won,25,206,216.0,21,0,15,1,32,193.0,193.0,29,7,28,4,4.0,KO/TKO,Tyson Fury
Tyson Fury,Marcel Zeller,won,20,206,216.0,1,0,1,1,35,185.0,199.414634146341,21,3,20,24,3.0,KO/TKO,Tyson Fury
Tyson Fury,Martin Rogan,won,23,206,216.0,17,0,12,1,40,191.0,199.414634146341,14,2,7,24,5.0,KO/TKO,Tyson Fury
Tyson Fury,Aleksandrs Selezens,won,20,206,216.0,6,0,6,1,29,188.0,199.414634146341,3,6,1,24,3.0,KO/TKO,Tyson Fury
Tyson Fury,Zack Page,won,22,206,216.0,12,0,9,1,37,183.0,199.414634146341,21,32,7,24,8.0,UD,Tyson Fury
Tyson Fury,Vinny Maddalone,won,23,206,216.0,18,0,13,1,38,188.0,199.414634146341,35,7,26,24,5.0,KO/TKO,Tyson Fury
Wladimir Klitschko,David Haye,won,35,198,206.0,55,3,48,6,30,191.0,198.0,25,1,23,24,2.0,UD,Wladimir Klitschko
Wladimir Klitschko,Jameel McCline,won,26,198,206.0,39,1,35,6,32,198.0,208.0,28,2,16,24,0.0,RTD,Wladimir Klitschko
