f_boxer,s_boxer,f_boxer_result,f_boxer_age,f_boxer_height,f_boxer_reach,f_boxer_won,f_boxer_lost,f_boxer_KOs,s_boxer_age,s_boxer_height,s_boxer_reach,s_boxer_won,s_boxer_lost,s_boxer_KOs,matchRounds,fightEnd,winner
Vinny Maddalone,Tyson Fury,lost,38,188.0,199.4,35,7,26,23,206,216.0,18,0,13,5.0,KO/TKO,Tyson Fury
Wladimir Klitschko,David Haye,won,35,198,206.0,55,3,48,30,191.0,198.0,25,1,23,2.0,UD,Wladimir Klitschko
Wladimir Klitschko,Jameel McCline,won,26,198,206.0,39,1,35,32,198.0,208.0,28,2,16,0.0,RTD,Wladimir Klitschko
Wladimir Klitschko,Alexander Povetkin,won,37,198,206.0,60,3,51,34,188.0,191.0,26,0,18,2.0,UD,Wladimir Klitschko
Francesco Pianeta,Wladimir Klitschko,lost,28,196.0,203.0,28,0,15,37,198,206.0,59,3,50,6.0,KO/TKO,Wladimir Klitschko
Bryant Jennings,Wladimir Klitschko,lost,30,191.0,213.0,19,0,10,39,198,206.0,63,3,53,2.0,UD,Wladimir Klitschko
Monte Barrett,Wladimir Klitschko,lost,29,191.0,198.0,23,1,14,24,198,206.0,33,1,30,7.0,KO/TKO,Wladimir Klitschko
Carlos Monroe,Wladimir Klitschko,lost,33,198.0,204.0,11,6,7,22,198,206.0,20,0,17,6.0,KO/TKO,Wladimir Klitschko
Sultan Ibragimov,Wladimir Klitschko,lost,32,188.0,193.0,22,0,17,31,198,206.0,49,3,43,2.0,UD,Wladimir Klitschko
Jean Marc Mormeck,Wladimir Klitschko,lost,39,181.0,188.0,36,4,22,35,198,206.0,56,3,48,4.0,KO/TKO,Wladimir Klitschko
Biko Botowamungu,Wladimir Klitschko,lost,40,190.0,193.0,9,5,9,21,198,206.0,10,0,9,4.0,DQ,Wladimir Klitschko
Carlos Monroe,Wladimir Klitschko,lost,32,198.0,204.0,8,2,5,20,198,206.0,4,0,4,6.0,DQ,Wladimir Klitschko
Kubrat Pulev,Wladimir Klitschko,lost,33,194.0,202.0,20,0,11,38,198,206.0,62,3,52,5.0,KO/TKO,Wladimir Klitschko
Ray Mercer,Wladimir Klitschko,lost,41,185.0,196.0,30,4,22,26,198,206.0,38,1,34,6.0,KO/TKO,Wladimir Klitschko
Samuel Peter,Wladimir Klitschko,lost,25,188.0,196.0,24,0,21,29,198,206.0,44,3,39,2.0,UD,Wladimir Klitschko
Najee Shaheed,Wladimir Klitschko,lost,30,184.0,188.0,16,0,8,22,198,206.0,19,0,16,1.0,KO/TKO,Wladimir Klitschko
Tony Thompson,Wladimir Klitschko,lost,36,196.0,207.0,31,1,19,32,198,206.0,50,3,43,1.0,KO/TKO,Wladimir Klitschko
Axel Schulz,Wladimir Klitschko,lost,30,191.0,193.0,26,3,11,23,198,206.0,28,1,25,8.0,KO/TKO,Wladimir Klitschko
Marcus McIntyre,Wladimir Klitschko,lost,28,193.0,196.0,15,1,8,21,198,206.0,16,0,14,3.0,KO/TKO,Wladimir Klitschko
Calvin Brock,Wladimir Klitschko,lost,31,188.0,196.0,29,0,22,30,198,206.0,46,3,40,7.0,KO/TKO,Wladimir Klitschko
Eli Dixon,Wladimir Klitschko,lost,32,188.0,201.0,21,4,14,22,198,206.0,22,0,19,3.0,KO/TKO,Wladimir Klitschko
Derrick Jefferson,Wladimir Klitschko,lost,33,198.0,208.0,23,2,19,24,198,206.0,35,1,31,2.0,KO/TKO,Wladimir Klitschko
Eliseo Castillo,Wladimir Klitschko,lost,29,188.0,199.4,18,0,14,29,198,206.0,43,3,38,4.0,KO/TKO,Wladimir Klitschko
Eddie Chambers,Wladimir Klitschko,lost,27,185.0,191.0,35,1,18,33,198,206.0,53,3,46,2.0,KO/TKO,Wladimir Klitschko
Frans Botha,Wladimir Klitschko,lost,33,188.0,188.0,44,3,28,25,198,206.0,37,1,33,8.0,KO/TKO,Wladimir Klitschko
Phil Jackson,Wladimir Klitschko,lost,35,185.0,201.0,43,8,39,23,198,206.0,29,1,26,2.0,KO/TKO,Wladimir Klitschko
Alex Leapai,Wladimir Klitschko,lost,34,183.0,190.0,30,4,24,38,198,206.0,61,3,51,5.0,KO/TKO,Wladimir Klitschko
Mariusz Wach,Wladimir Klitschko,lost,32,202.0,208.0,27,0,15,36,198,206.0,58,3,50,2.0,UD,Wladimir Klitschko
Everett Martin,Wladimir Klitschko,lost,34,182.0,183.0,20,29,9,23,198,206.0,25,1,22,8.0,KO/TKO,Wladimir Klitschko
Tony Thompson,Wladimir Klitschko,lost,40,196.0,207.0,36,2,24,36,198,206.0,57,3,49,6.0,KO/TKO,Wladimir Klitschko
Steve Pannell,Wladimir Klitschko,lost,31,193.0,193.0,33,4,27,22,198,206.0,21,0,18,2.0,KO/TKO,Wladimir Klitschko
Fabian Meza,Wladimir Klitschko,lost,27,187.0,188.0,4,1,1,20,198,206.0,0,0,0,1.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Lamon Brewster,won,31,198,206.0,48,3,42,34,188.0,196.0,33,3,29,6.0,RTD,Wladimir Klitschko
Troy Weida,Wladimir Klitschko,lost,24,191.0,191.0,6,1,6,20,198,206.0,3,0,3,3.0,KO/TKO,Wladimir Klitschko
Lajos Eros,Wladimir Klitschko,lost,35,187.0,188.0,21,8,11,23,198,206.0,30,1,27,2.0,KO/TKO,Wladimir Klitschko
Corrie Sanders,Wladimir Klitschko,won,37,193,196.0,38,2,28,26,198.0,206.0,40,1,36,2.0,KO/TKO,Corrie Sanders
Bill Corrigan,Wladimir Klitschko,lost,33,193.0,193.0,10,12,7,20,198,206.0,2,0,2,1.0,KO/TKO,Wladimir Klitschko
Fabio Eduardo Moli,Wladimir Klitschko,lost,34,194.0,199.4,29,2,17,27,198,206.0,40,2,36,1.0,KO/TKO,Wladimir Klitschko
DaVarryl Williamson,Wladimir Klitschko,lost,36,193.0,203.0,20,2,17,28,198,206.0,42,3,38,5.0,Unknown,Wladimir Klitschko
Danell Nicholson,Wladimir Klitschko,lost,36,193.0,203.0,42,4,32,27,198,206.0,41,2,37,4.0,KO/TKO,Wladimir Klitschko
Tony LaRosa,Wladimir Klitschko,lost,31,178.0,183.0,31,15,18,23,198,206.0,26,1,23,1.0,KO/TKO,Wladimir Klitschko
Cody Koch,Wladimir Klitschko,lost,25,188.0,188.0,25,1,21,22,198,206.0,18,0,15,4.0,KO/TKO,Wladimir Klitschko
Ray Austin,Wladimir Klitschko,lost,36,198.0,203.0,24,3,16,30,198,206.0,47,3,41,2.0,KO/TKO,Wladimir Klitschko
Lamon Brewster,Wladimir Klitschko,won,30,188,196.0,29,2,26,28,198.0,206.0,42,2,38,5.0,KO/TKO,Lamon Brewster
David Bostice,Wladimir Klitschko,lost,28,196.0,193.0,22,1,12,24,198,206.0,32,1,29,2.0,KO/TKO,Wladimir Klitschko
