tyson fury,aleksandrs selezens,won,20,206,216.0,6,0,6,29,188.0,199.414634146341,3,6,1,3.0,ko/tko,tyson fury
tyson fury,zack page,won,22,206,216.0,12,0,9,37,183.0,199.414634146341,21,32,7,8.0,ud,tyson fury
tyson fury,vinny maddalone,won,23,206,216.0,18,0,13,38,188.0,199.414634146341,35,7,26,5.0,ko/tko,tyson fury
wladimir klitschko,david haye,won,35,198,206.0,55,3,48,30,191.0,198.0,25,1,23,2.0,ud,wladimir klitschko
wladimir klitschko,jameel mccline,won,26,198,206.0,39,1,35,32,198.0,208.0,28,2,16,0.0,rtd,wladimir klitschko
wladimir klitschko,alexander povetkin,won,37,198,206.0,60,3,51,34,188.0,191.0,26,0,18,2.0,ud,wladimir klitschko
wladimir klitschko,francesco pianeta,won,37,198,206.0,59,3,50,28,196.0,203.0,28,0,15,6.0,ko/tko,wladimir klitschko
wladimir klitschko,bryant jennings,won,39,198,206.0,63,3,53,30,191.0,213.0,19,0,10,2.0,ud,wladimir klitschko
wladimir klitschko,monte barrett,won,24,198,206.0,33,1,30,29,191.0,198.0,23,1,14,7.0,ko/tko,wladimir klitschko
wladimir klitschko,carlos monroe,won,22,198,206.0,20,0,17,33,198.0,204.0,11,6,7,6.0,ko/tko,wladimir klitschko
wladimir klitschko,sultan ibragimov,won,31,198,206.0,49,3,43,32,188.0,193.0,22,0,17,2.0,ud,wladimir klitschko
wladimir klitschko,jean marc mormeck,won,35,198,206.0,56,3,48,39,181.0,188.0,36,4,22,4.0,ko/tko,wladimir klitschko
wladimir klitschko,biko botowamungu,won,21,198,206.0,10,0,9,40,190.0,193.0,9,5,9,4.0,dq,wladimir klitschko
wladimir klitschko,carlos monroe,won,20,198,206.0,4,0,4,32,198.0,204.0,8,2,5,6.0,dq,wladimir klitschko
wladimir klitschko,kubrat pulev,won,38,198,206.0,62,3,52,33,194.0,202.0,20,0,11,5.0,ko/tko,wladimir klitschko
wladimir klitschko,ray mercer,won,26,198,206.0,38,1,34,41,185.0,196.0,30,4,22,6.0,ko/tko,wladimir klitschko
wladimir klitschko,samuel peter,won,29,198,206.0,44,3,39,25,188.0,196.0,24,0,21,2.0,ud,wladimir klitschko
wladimir klitschko,najee shaheed,won,22,198,206.0,19,0,16,30,184.0,188.0,16,0,8,1.0,ko/tko,wladimir klitschko
wladimir klitschko,tony thompson,won,32,198,206.0,50,3,43,36,196.0,207.0,31,1,19,1.0,ko/tko,wladimir klitschko
wladimir klitschko,axel schulz,won,23,198,206.0,28,1,25,30,191.0,193.0,26,3,11,8.0,ko/tko,wladimir klitschko
wladimir klitschko,marcus mcintyre,won,21,198,206.0,16,0,14,28,193.0,196.0,15,1,8,3.0,ko/tko,wladimir klitschko
wladimir klitschko,calvin brock,won,30,198,206.0,46,3,40,31,188.0,196.0,29,0,22,7.0,ko/tko,wladimir klitschko
wladimir klitschko,eli dixon,won,22,198,206.0,22,0,19,32,188.0,201.0,21,4,14,3.0,ko/tko,wladimir klitschko
