f_boxer,s_boxer,f_boxer_result,f_boxer_age,f_boxer_height,f_boxer_reach,f_boxer_won,f_boxer_lost,f_boxer_KOs,s_boxer_age,s_boxer_height,s_boxer_reach,s_boxer_won,s_boxer_lost,s_boxer_KOs,matchRounds,fightEnd,winner
Tyson Fury,Daniil Peretyatko,won,20.0,206,216.0,2,0,2.0,35.0,183.0,199.414634146341,15,20,6.0,2.0,RTD,Tyson Fury
Tyson Fury,Lee Swaby,won,20.0,206,216.0,3,0,3.0,32.0,188.0,199.414634146341,23,22,11.0,4.0,RTD,Tyson Fury
Tyson Fury,Joey Abell,won,25.0,206,216.0,21,0,15.0,32.0,193.0,193.0,29,7,28.0,4.0,KO/TKO,Tyson Fury
Tyson Fury,Marcel Zeller,won,20.0,206,216.0,1,0,1.0,35.0,185.0,199.414634146341,21,3,20.0,3.0,KO/TKO,Tyson Fury
Tyson Fury,Martin Rogan,won,23.0,206,216.0,17,0,12.0,40.0,191.0,199.414634146341,14,2,7.0,5.0,KO/TKO,Tyson Fury
Tyson Fury,Aleksandrs Selezens,won,20.0,206,216.0,6,0,6.0,29.0,188.0,199.414634146341,3,6,1.0,3.0,KO/TKO,Tyson Fury
Tyson Fury,Zack Page,won,22.0,206,216.0,12,0,9.0,37.0,183.0,199.414634146341,21,32,7.0,8.0,UD,Tyson Fury
Tyson Fury,Vinny Maddalone,won,23.0,206,216.0,18,0,13.0,38.0,188.0,199.414634146341,35,7,26.0,5.0,KO/TKO,Tyson Fury
Wladimir Klitschko,David Haye,won,35.0,198,206.0,55,3,48.0,30.0,191.0,198.0,25,1,23.0,2.0,UD,Wladimir Klitschko
Wladimir Klitschko,Jameel McCline,won,26.0,198,206.0,39,1,35.0,32.0,198.0,208.0,28,2,16.0,0.0,RTD,Wladimir Klitschko
Wladimir Klitschko,Alexander Povetkin,won,37.0,198,206.0,60,3,51.0,34.0,188.0,191.0,26,0,18.0,2.0,UD,Wladimir Klitschko
Wladimir Klitschko,Francesco Pianeta,won,37.0,198,206.0,59,3,50.0,28.0,196.0,203.0,28,0,15.0,6.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Bryant Jennings,won,39.0,198,206.0,63,3,53.0,30.0,191.0,213.0,19,0,10.0,2.0,UD,Wladimir Klitschko
Wladimir Klitschko,Monte Barrett,won,24.0,198,206.0,33,1,30.0,29.0,191.0,198.0,23,1,14.0,7.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Carlos Monroe,won,22.0,198,206.0,20,0,17.0,33.0,198.0,204.0,11,6,7.0,6.0,KO/TKO,Wladimir Klitschko
