"","X","f_boxer","s_boxer","f_boxer_result","f_boxer_stance","f_boxer_age","f_boxer_height","f_boxer_reach","f_boxer_won","f_boxer_lost","f_boxer_drawn","f_boxer_KOs","f_boxer_ranking","s_boxer_ranking","s_boxer_age","s_boxer_stance","s_boxer_reach","s_boxer_height","s_boxer_won","s_boxer_lost","s_boxer_drawn","s_boxer_KOs","s_boxer_result","matchRounds","fightEnd"
"35",35,"Tyson Fury","Christian Hammer","won","orthodox","26",206,216,23,0,0,"17",1,17,"27","orthodox",198,"189",17,3,0,"10","lost",8,"RTD"
"36",36,"Tyson Fury","Neven Pajkic","won","orthodox","23",206,216,16,0,0,"11",1,24,"34","orthodox",199.414634146341,"191",16,0,0,"5","lost",3,"KO/TKO"
"37",37,"Dereck Chisora","Tyson Fury","lost","orthodox","30",187,188,20,4,0,"13",5,1,"26","orthodox",216,"206",22,0,0,"16","won",NA,"Unknown"
"38",38,"Wladimir Klitschko","Tyson Fury","lost","orthodox","39",198,206,64,3,0,"53",6,1,"27","orthodox",216,"206",24,0,0,"18","won",NA,"Unknown"
"39",39,"Tyson Fury","Mathew Ellis","won","orthodox","20",206,216,4,0,0,"4",1,24,"35","orthodox",199.414634146341,"182",20,6,1,"9","lost",1,"KO/TKO"
"40",40,"Tyson Fury","Otto Wallin","won","orthodox","31",206,216,28,0,1,"20",1,18,"28","southpaw",198,"197",20,0,0,"13","lost",2,"UD"
"41",41,"Tyson Fury","Bela Gyongyosi","won","orthodox","20",206,216,0,0,0,"0",1,24,"22","southpaw",199.414634146341,"192",3,9,2,"1","lost",1,"KO/TKO"
"42",42,"Tyson Fury","Tomas Mrazek","won","orthodox","21",206,216,8,0,0,"7",1,21,"28","southpaw",199.414634146341,NA,4,22,5,"3","lost",6,"Unknown"
"43",43,"Tyson Fury","Sefer Seferi","won","orthodox","29",206,216,25,0,0,"18",1,20,"39","orthodox",199.414634146341,NA,23,1,0,"21","lost",4,"RTD"
"44",44,"Tyson Fury","Marcelo Nascimento","won","orthodox","22",206,216,13,0,0,"9",1,10,"30","orthodox",199.414634146341,"196",13,0,0,"11","lost",5,"KO/TKO"
"45",45,"Tyson Fury","Kevin Johnson","won","orthodox","24",206,216,19,0,0,"14",1,23,"33","orthodox",208,"191",28,2,1,"13","lost",2,"UD"
"46",46,"Tyson Fury","Nicolai Firtha","won","orthodox","23",206,216,15,0,0,"10",1,24,"32","orthodox",199.414634146341,"198",20,8,1,"8","lost",5,"KO/TKO"
"47",47,"Tyson Fury","Tom Schwarz","won","orthodox","30",206,216,27,0,1,"19",1,13,"25","orthodox",199.414634146341,"197",24,0,0,"16","lost",2,"KO/TKO"
"48",48,"Tyson Fury","Francesco Pianeta","won","orthodox","30",206,216,26,0,0,"19",1,24,"33","southpaw",203,"196",35,4,1,"21","lost",0,"Unknown"
"49",49,"Tyson Fury","Daniil Peretyatko","won","orthodox","20",206,216,2,0,0,"2",1,24,"35","orthodox",199.414634146341,"183",15,20,0,"6","lost",2,"RTD"
"50",50,"Tyson Fury","Lee Swaby","won","orthodox","20",206,216,3,0,0,"3",1,24,"32","southpaw",199.414634146341,"188",23,22,2,"11","lost",4,"RTD"
"51",51,"Tyson Fury","Joey Abell","won","orthodox","25",206,216,21,0,0,"15",1,4,"32","southpaw",193,"193",29,7,0,"28","lost",4,"KO/TKO"
"52",52,"Tyson Fury","Marcel Zeller","won","orthodox","20",206,216,1,0,0,"1",1,24,"35","orthodox",199.414634146341,"185",21,3,0,"20","lost",3,"KO/TKO"
"53",53,"Tyson Fury","Martin Rogan","won","orthodox","23",206,216,17,0,0,"12",1,24,"40","orthodox",199.414634146341,"191",14,2,0,"7","lost",5,"KO/TKO"
"54",54,"John McDermott","Tyson Fury","lost","orthodox","29",191,206.5,25,5,0,"16",6,1,"21","orthodox",216,"206",7,0,0,"7","won",NA,"Unknown"
"55",55,"Dereck Chisora","Tyson Fury","lost","orthodox","27",187,188,14,0,0,"9",5,1,"22","orthodox",216,"206",14,0,0,"10","won",NA,"Unknown"
"56",56,"Tyson Fury","Aleksandrs Selezens","won","orthodox","20",206,216,6,0,0,"6",1,24,"29","orthodox",199.414634146341,"188",3,6,0,"1","lost",3,"KO/TKO"
"57",57,"Tyson Fury","Zack Page","won","orthodox","22",206,216,12,0,0,"9",1,24,"37","orthodox",199.414634146341,"183",21,32,2,"7","lost",8,"UD"
"58",58,"Deontay Wilder","Tyson Fury","lost","orthodox","33",201,211,40,0,0,"39",3,1,"30","orthodox",216,"206",27,0,0,"19","won",NA,"Unknown"
"59",59,"Tyson Fury","Vinny Maddalone","won","orthodox","23",206,216,18,0,0,"13",1,24,"38","orthodox",199.414634146341,"188",35,7,0,"26","lost",5,"KO/TKO"
